Office of the Superintendent of Bankruptcy,,,,,,,,,,,,,,,,,
Business Bankruptcy Statistics by the North American Industry Classification System by Province,,,,,,,,,,,,,,,,,
Year: 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Bureau du surintendent des faillites,,,,,,,,,,,,,,,,,
Statistiques provinciales sur les faillites d'entreprise selon le Système de classification des industries de l'Amerique du Nord,,,,,,,,,,,,,,,,,
Année: 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TYPE,CODE,TITLE,TITRE,"N.L 
T.-N.-L.","N.S. 
N.-É.","P.E.I. 
Î.-P.-É.","N.B. 
N.-B.","QUE. 
QC","ONT. 
ONT.","MAN. 
MAN.","SASK. 
SASK.","ALTA. 
ALB.","B.C. 
C.-B.","N.W.T. 
T.-N.-O.","Y.T. 
YUKON","NUN. 
NUN.","CANADA 
CANADA"
Sector / Secteur:,11,"Agriculture, forestry, fishing and hunting","Agriculture, foresterie, pêche et chasse",0,3,0,2,50,9,3,1,2,4,0,0,0,74
Sub Sector / Sous-secteur:,111,Crop production,Cultures agricoles,0,1,0,0,16,3,2,1,0,2,0,0,0,25
Industry Group / Groupe industriel:,1111,Oilseed and grain farming,Culture de plantes oléagineuses et de céréales,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Industry / Industrie:,11111,Soybean farming,Culture du soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111110,Soybean farming,Culture du soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11112,Oilseed (except soybean) farming,Culture de plantes oléagineuses (sauf le soja),0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111120,Oilseed (except soybean) farming,Culture de plantes oléagineuses (sauf le soja),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11113,Dry pea and bean farming,Culture de pois et de haricots secs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111130,Dry pea and bean farming,Culture de pois et de haricots secs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11114,Wheat farming,Culture du blé,0,0,0,0,0,0,2,0,0,0,0,0,0,2
National Industry / Industrie nationale:,111140,Wheat farming,Culture du blé,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Industry / Industrie:,11115,Corn farming,Culture du maïs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111150,Corn farming,Culture du maïs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11116,Rice farming,Culture du riz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111160,Rice farming,Culture du riz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11119,Other grain farming,Autres cultures céréalières,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111190,Other grain farming,Autres cultures céréalières,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry Group / Groupe industriel:,1112,Vegetable and melon farming,Culture de légumes et de melons,0,1,0,0,3,0,0,0,0,0,0,0,0,4
Industry / Industrie:,11121,Vegetable and melon farming,Culture de légumes et de melons,0,1,0,0,3,0,0,0,0,0,0,0,0,4
National Industry / Industrie nationale:,111211,Potato farming,Culture de pommes de terre,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111219,Other vegetable (except potato) and melon farming,Autres cultures de légumes et de melons (sauf de pommes de terre),0,1,0,0,3,0,0,0,0,0,0,0,0,4
Industry Group / Groupe industriel:,1113,Fruit and tree nut farming,Culture de fruits et de noix,0,0,0,0,0,2,0,0,0,1,0,0,0,3
Industry / Industrie:,11131,Orange groves,Culture d'oranges,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111310,Orange groves,Culture d'oranges,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11132,Citrus (except orange) groves,Culture d'agrumes (sauf les oranges),0,0,0,0,0,0,0,0,0,1,0,0,0,1
National Industry / Industrie nationale:,111320,Citrus (except orange) groves,Culture d'agrumes (sauf les oranges),0,0,0,0,0,0,0,0,0,1,0,0,0,1
Industry / Industrie:,11133,Non-citrus fruit and tree nut farming,Culture de noix et de fruits (sauf les agrumes),0,0,0,0,0,2,0,0,0,0,0,0,0,2
National Industry / Industrie nationale:,111330,Non-citrus fruit and tree nut farming,Culture de noix et de fruits (sauf les agrumes),0,0,0,0,0,2,0,0,0,0,0,0,0,2
Industry Group / Groupe industriel:,1114,"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",0,0,0,0,3,1,0,0,0,0,0,0,0,4
Industry / Industrie:,11141,Food crops grown under cover,Culture vivrière en serre,0,0,0,0,2,1,0,0,0,0,0,0,0,3
National Industry / Industrie nationale:,111411,Mushroom production,Culture de champignons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111412,Cannabis grown under cover,Culture de cannabis sous abri,0,0,0,0,1,1,0,0,0,0,0,0,0,2
National Industry / Industrie nationale:,111419,Other food crops grown under cover,Autres cultures vivrières en serre,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Industry / Industrie:,11142,Nursery and floriculture production,Culture en pépinière et floriculture,0,0,0,0,1,0,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,111421,Nursery and tree production,Culture en pépinière et arboriculture,0,0,0,0,1,0,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,111422,Floriculture production,Floriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry Group / Groupe industriel:,1119,Other crop farming,Autres cultures agricoles,0,0,0,0,10,0,0,1,0,1,0,0,0,12
Industry / Industrie:,11191,Tobacco farming,Culture du tabac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111910,Tobacco farming,Culture du tabac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11192,Cotton farming,Culture du coton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111920,Cotton farming,Culture du coton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11193,Sugar cane farming,Culture de la canne à sucre,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111930,Sugar cane farming,Culture de la canne à sucre,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11194,Hay farming,Culture du foin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111940,Hay farming,Culture du foin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11199,All other crop farming,Toutes les autres cultures agricoles,0,0,0,0,10,0,0,1,0,1,0,0,0,12
National Industry / Industrie nationale:,111993,Fruit and vegetable combination farming,Culture mixte de fruits et de légumes,0,0,0,0,2,0,0,1,0,1,0,0,0,4
National Industry / Industrie nationale:,111994,Maple syrup and products production,Production de sirop d'érable et d'autres produits de l'érable,0,0,0,0,2,0,0,0,0,0,0,0,0,2
National Industry / Industrie nationale:,111995,Cannabis grown in open fields,Culture de cannabis en plein champ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,111999,All other miscellaneous crop farming,Toutes les autres cultures agricoles diverses,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Sub Sector / Sous-secteur:,112,Animal production and aquaculture,Élevage et aquaculture,0,0,0,1,8,2,0,0,0,0,0,0,0,11
Industry Group / Groupe industriel:,1121,Cattle ranching and farming,Élevage de bovins,0,0,0,1,1,2,0,0,0,0,0,0,0,4
Industry / Industrie:,11211,"Beef cattle ranching and farming, including feedlots","Élevage de bovins de boucherie, y compris l'exploitation de parcs
d'engraissement",0,0,0,0,1,1,0,0,0,0,0,0,0,2
National Industry / Industrie nationale:,112110,"Beef cattle ranching and farming, including feedlots","Élevage de bovins de boucherie, y compris l'exploitation de parcs
d'engraissement",0,0,0,0,1,1,0,0,0,0,0,0,0,2
Industry / Industrie:,11212,Dairy cattle and milk production,Élevage de bovins laitiers et production laitière,0,0,0,1,0,1,0,0,0,0,0,0,0,2
National Industry / Industrie nationale:,112120,Dairy cattle and milk production,Élevage de bovins laitiers et production laitière,0,0,0,1,0,1,0,0,0,0,0,0,0,2
Industry Group / Groupe industriel:,1122,Hog and pig farming,Élevage de porcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11221,Hog and pig farming,Élevage de porcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112210,Hog and pig farming,Élevage de porcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry Group / Groupe industriel:,1123,Poultry and egg production,Élevage de volailles et production d'oeufs,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Industry / Industrie:,11231,Chicken egg production,Production d'oeufs de poules,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112310,Chicken egg production,Production d'oeufs de poules,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11232,Broiler and other meat-type chicken production,Élevage de poulets à griller et d'autres volailles d'abattage,0,0,0,0,1,0,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,112320,Broiler and other meat-type chicken production,Élevage de poulets à griller et d'autres volailles d'abattage,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Industry / Industrie:,11233,Turkey production,Élevage de dindons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112330,Turkey production,Élevage de dindons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11234,Poultry hatcheries,Couvoirs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112340,Poultry hatcheries,Couvoirs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11239,Other poultry production,Élevage d'autres volailles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112391,Combination poultry and egg production,Élevage de volailles combiné à la production d'oeufs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112399,All other poultry production,Élevage de toutes autres volailles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry Group / Groupe industriel:,1124,Sheep and goat farming,Élevage de moutons et de chèvres,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11241,Sheep farming,Élevage de moutons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112410,Sheep farming,Élevage de moutons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11242,Goat farming,Élevage de chèvres,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112420,Goat farming,Élevage de chèvres,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry Group / Groupe industriel:,1125,Aquaculture,Aquaculture,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Industry / Industrie:,11251,Aquaculture,Aquaculture,0,0,0,0,3,0,0,0,0,0,0,0,0,3
National Industry / Industrie nationale:,112510,Aquaculture,Aquaculture,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Industry Group / Groupe industriel:,1129,Other animal production,Autres types d'élevage,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Industry / Industrie:,11291,Apiculture,Apiculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112910,Apiculture,Apiculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11292,Horse and other equine production,Élevage de chevaux et d'autres équidés,0,0,0,0,1,0,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,112920,Horse and other equine production,Élevage de chevaux et d'autres équidés,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Industry / Industrie:,11293,Fur-bearing animal and rabbit production,Élevage d'animaux à fourrure et de lapins,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,112930,Fur-bearing animal and rabbit production,Élevage d'animaux à fourrure et de lapins,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11299,All other animal production,Tous les autres types d'élevage,0,0,0,0,2,0,0,0,0,0,0,0,0,2
National Industry / Industrie nationale:,112991,Animal combination farming,Élevage mixte d'animaux,0,0,0,0,1,0,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,112999,All other miscellaneous animal production,Tous les autres types d'élevage divers,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Sub Sector / Sous-secteur:,113,Forestry and logging,Foresterie et exploitation forestière,0,0,0,1,11,2,0,0,0,1,0,0,0,15
Industry Group / Groupe industriel:,1131,Timber tract operations,Exploitation de terres à bois,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry / Industrie:,11311,Timber tract operations,Exploitation de terres à bois,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Industry / Industrie nationale:,113110,Timber tract operations,Exploitation de terres à bois,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry Group / Groupe industriel:,1132,Forest nurseries and gathering of forest products,Pépinières forestières et récolte de produits forestiers,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Industry / Industrie:,11321,Forest nurseries and gathering of forest products,Pépinières forestières et récolte de produits forestiers,0,0,0,0,1,0,0,0,0,0,0,0,0,1
National Industry / Industrie nationale:,113210,Forest nurseries and gathering of forest products,Pépinières forestières et récolte de produits forestiers,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Industry Group / Groupe industriel:,1133,Logging,Exploitation forestière,0,0,0,1,10,2,0,0,0,1,0,0,0,14
Industry / Industrie:,11331,Logging,Exploitation forestière,0,0,0,1,10,2,0,0,0,1,0,0,0,14
National Industry / Industrie nationale:,113311,Logging (except contract),Exploitation forestière (sauf à forfait),0,0,0,1,9,1,0,0,0,1,0,0,0,12
National Industry / Industrie nationale:,113312,Contract logging,Exploitation forestière à forfait,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Sub Sector / Sous-secteur:,114,"Fishing, hunting and trapping","Pêche, chasse et piégeage",0,0,0,0,2,0,0,0,0,1,0,0,0,3
Industry Group / Groupe industriel:,1141,Fishing,Pêche,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Industry / Industrie:,11411,Fishing,Pêche,0,0,0,0,2,0,0,0,0,0,0,0,0,2
